,Postcode,Commune,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80_84,age85_89,age90_94,age95_99,age100_and_over,Total
842,7100,Vejle ,3661,3258,3536,3927,4254,4587,4696,3833,3833,4088,4120,4421,3510,3108,2846,2772,1759,891,361,88,14,63563
843,7120,Vejle Øst ,922,928,920,839,342,425,731,909,782,887,857,874,686,595,573,563,250,130,31,12,2,12258
844,7130,Juelsminde ,325,371,417,538,283,284,356,393,449,562,656,781,730,697,650,675,418,229,92,20,1,8927
845,7140,Stouby ,103,99,129,146,107,98,110,98,147,135,178,180,141,118,78,77,38,11,8,0,0,2001
846,7150,Barrit ,58,53,78,92,78,54,69,74,87,121,116,97,106,93,60,53,31,16,6,2,0,1344
847,7160,Tørring ,333,362,367,327,284,325,398,385,360,361,374,398,359,317,280,255,141,94,39,13,0,5772
848,7171,Uldum ,118,121,168,146,85,105,131,131,163,177,135,135,118,121,106,71,47,34,17,6,1,2136
849,7173,Vonge ,48,49,50,72,50,42,58,63,54,71,67,99,65,68,50,38,21,15,2,0,0,982
850,7182,Bredsten ,163,154,218,242,172,138,157,155,209,258,272,292,217,186,186,182,108,57,21,6,0,3393
851,7183,Randbøl ,59,51,63,57,36,44,48,73,60,70,61,108,94,83,74,57,33,8,10,0,0,1089
852,7184,Vandel ,39,62,63,59,46,58,78,55,73,59,85,100,67,53,59,39,24,7,4,1,0,1031
853,7190,Billund ,385,470,514,457,324,377,443,519,545,533,511,497,473,397,381,377,219,92,47,11,0,7572
854,7200,Grindsted ,751,751,833,952,688,743,791,766,881,873,938,991,939,866,775,729,460,289,112,30,1,14159
855,7250,Hejnsvig ,89,107,105,126,75,70,123,119,129,135,144,179,155,136,98,81,44,31,14,4,1,1965
856,7260,Sønder Omme ,109,119,142,144,101,107,136,155,155,163,175,174,167,148,130,115,78,53,20,2,1,2394
857,7270,Stakroge ,11,16,23,32,17,10,16,24,25,45,34,43,36,33,27,16,11,1,2,2,0,424
858,7280,Sønder Felding ,54,86,103,113,86,78,97,77,103,123,120,150,143,116,117,102,76,45,17,4,0,1810
859,7300,Jelling ,329,376,449,495,308,317,324,321,417,509,450,473,425,318,279,262,179,89,33,8,3,6364
860,7321,Gadbjerg ,79,96,87,107,60,79,92,97,105,110,114,133,99,96,87,80,44,22,8,2,0,1597
861,7323,Give ,538,604,712,630,559,583,640,623,692,776,762,905,760,681,629,578,377,210,91,28,1,11379
862,7330,Brande ,551,594,699,651,466,481,627,687,698,742,648,701,672,612,543,478,279,148,78,11,4,10370
863,7361,Ejstrupholm ,159,156,199,206,126,130,183,192,186,179,198,192,225,216,172,149,88,58,12,8,0,3034
864,7362,Hampen ,17,28,48,35,19,30,43,54,54,60,60,71,58,51,29,28,9,6,1,0,0,701
865,7400,Herning ,3252,3351,3442,3802,3932,3860,3927,3407,3409,3898,3982,4118,3467,3079,2857,2757,1765,901,352,100,4,59662
866,7430,Ikast ,1004,1086,1202,1336,933,1006,1134,1096,1221,1225,1289,1316,1064,978,1009,933,540,276,105,21,3,18777
867,7441,Bording ,209,215,257,241,155,218,232,228,200,265,279,325,248,222,201,200,125,51,29,5,2,3907
868,7442,Engesvang ,195,176,188,199,108,124,190,192,192,225,193,233,214,170,140,113,63,33,14,2,0,2964
869,7451,Sunds ,301,308,394,402,255,301,312,340,308,431,452,490,392,424,380,320,183,111,31,6,1,6142
870,7470,Karup J ,288,341,409,433,302,335,411,355,426,432,478,542,510,464,384,365,210,112,59,8,0,6864
871,7480,Vildbjerg ,342,398,484,453,280,266,338,386,460,453,501,530,470,424,369,329,191,100,37,12,0,6823
872,7490,Aulum ,295,319,318,342,223,274,291,263,281,341,313,326,263,276,287,241,126,94,34,11,0,4918
873,7500,Holstebro ,2673,2677,2846,3025,2850,2777,2901,2578,2653,2861,2818,3134,2699,2565,2294,2012,1234,676,256,64,5,45598
874,7540,Haderup ,94,113,133,113,95,87,101,132,107,121,125,147,140,118,120,75,41,39,8,1,1,1911
875,7550,Sørvad ,104,122,124,143,67,62,93,92,130,118,107,117,111,91,74,57,38,32,14,4,0,1700
876,7560,Hjerm ,102,92,113,120,61,65,104,86,92,125,123,126,112,125,90,72,50,23,6,1,0,1688
877,7570,Vemb ,111,118,108,148,115,109,143,108,125,166,143,184,166,173,167,140,79,51,17,3,1,2375
878,7600,Struer ,657,715,844,1142,723,690,754,715,836,1009,1132,1296,1098,1133,1143,1069,622,328,132,32,8,16078
879,7620,Lemvig ,586,584,665,783,601,560,636,586,593,789,885,1085,1015,983,910,835,586,288,118,18,3,13109
880,7650,Bøvlingbjerg ,36,50,43,51,35,50,51,56,49,51,56,75,92,82,39,41,37,27,15,1,0,937
881,7660,Bækmarksbro ,79,72,84,94,62,69,63,85,93,88,90,116,98,82,71,51,45,28,17,1,0,1388
882,7673,Harboøre ,61,67,89,104,69,43,68,80,72,109,111,159,113,140,128,135,61,24,11,2,1,1647
883,7680,Thyborøn ,53,85,91,123,84,56,87,84,82,106,133,188,183,159,130,132,70,36,12,3,1,1898
884,7700,Thisted ,1407,1342,1463,1684,1264,1312,1512,1375,1328,1537,1613,1741,1701,1640,1583,1363,816,420,185,39,1,25326
885,7730,Hanstholm ,146,145,155,155,117,120,174,178,166,154,196,209,204,210,182,171,95,37,12,4,0,2830
886,7741,Frøstrup ,51,71,53,64,44,37,66,61,67,72,78,148,121,132,84,85,41,18,12,4,0,1309
887,7742,Vesløs ,36,55,55,61,57,44,50,47,54,54,76,98,100,83,73,65,42,18,5,1,0,1074
888,7752,Snedsted ,219,219,284,254,182,215,250,240,254,265,311,389,401,334,277,216,131,81,51,15,2,4590
889,7755,Bedsted Thy ,94,105,120,164,99,107,119,85,90,142,146,214,178,158,133,115,96,37,15,3,0,2220
890,7760,Hurup Thy ,168,208,275,282,160,163,215,208,245,297,279,327,356,372,335,288,179,108,42,10,0,4517
891,7770,Vestervig ,58,42,53,81,52,56,45,55,46,73,117,122,147,133,159,117,66,27,10,2,0,1461
892,7790,Thyholm ,97,116,181,180,103,100,104,132,163,203,207,243,230,227,247,223,107,73,21,9,1,2967
893,7800,Skive ,1067,1206,1430,1645,1496,1372,1413,1344,1401,1574,1735,1860,1666,1606,1484,1418,852,441,174,55,2,25241
894,7830,Vinderup ,324,379,435,442,283,301,376,396,404,489,474,512,516,466,448,423,266,143,57,13,1,7148
895,7840,Højslev ,227,273,313,312,148,198,245,229,286,305,288,369,363,332,297,238,176,81,31,8,2,4721
896,7850,Stoholm Jyll ,200,211,284,257,148,175,215,218,267,234,231,216,228,206,197,192,124,68,32,9,0,3712
897,7860,Spøttrup ,330,308,404,399,235,272,377,338,384,461,473,564,567,518,389,359,241,143,56,18,2,6838
898,7870,Roslev ,398,436,514,537,378,385,447,464,486,596,670,795,813,761,699,594,376,220,89,20,2,9680
899,7884,Fur ,27,24,29,19,19,15,24,31,20,29,43,68,72,91,83,69,39,19,8,3,0,732
900,7900,Nykøbing M ,551,582,705,849,635,623,687,610,637,765,913,1051,983,990,928,859,500,274,117,28,8,13295
901,7950,Erslev ,153,151,180,234,139,124,171,144,166,187,207,240,259,226,222,166,131,74,38,4,1,3217
902,7960,Karby ,42,40,52,45,14,35,44,40,39,38,46,59,88,73,62,48,41,22,15,3,0,846
903,7970,Redsted M ,27,47,52,36,26,34,38,41,44,42,56,54,68,48,32,36,30,11,4,2,0,728
904,7980,Vils ,61,61,46,49,24,41,54,60,31,36,39,54,50,39,37,20,26,9,3,1,0,741
905,7990,Øster Assels ,38,48,68,47,38,54,54,55,57,54,71,94,93,108,86,64,44,16,9,1,0,1099
906,8000,Aarhus C ,2243,1089,1211,1918,20562,19556,7052,2972,2197,2387,2721,2846,2421,2141,1972,1607,953,526,246,84,10,76714
907,8200,Aarhus N ,1535,1105,1079,1248,6723,6995,3342,1847,1448,1275,1327,1431,1408,1290,933,639,382,181,104,22,3,34317
908,8210,Aarhus V ,1576,1321,1251,1280,3074,3236,2209,1527,1314,1241,1245,1299,1249,1140,916,687,405,208,96,30,1,25305
909,8220,Brabrand ,1227,1218,1278,1417,2260,1884,1420,1194,1184,1184,1179,1107,911,743,723,603,377,207,69,26,7,20218
910,8230,Åbyhøj ,725,686,695,662,1687,1641,1033,832,720,740,678,736,646,592,483,379,190,134,66,15,2,13342
911,8240,Risskov ,1829,1509,1489,1762,3990,3589,2473,1775,1582,1665,1662,1813,1587,1497,1423,1279,723,413,180,43,7,32290
912,8250,Egå ,723,680,656,712,362,364,580,650,641,673,815,815,665,620,670,750,456,289,82,27,5,11235
913,8260,Viby J ,1706,1770,1600,1668,2609,2526,2260,1940,1738,1701,1660,1677,1461,1354,1101,1034,636,358,156,51,9,29015
914,8270,Højbjerg ,1230,1319,1444,1461,1047,943,1256,1330,1391,1465,1622,1692,1459,1377,1156,1003,597,407,172,49,0,22420
915,8300,Odder ,1205,1232,1343,1462,855,739,1224,1229,1227,1459,1567,1733,1567,1456,1420,1260,719,435,170,39,5,22346
916,8305,Samsø ,150,152,174,130,85,97,138,166,181,205,260,327,370,388,319,301,165,109,41,15,2,3775
917,8310,Tranbjerg J ,596,558,502,413,316,380,631,618,537,531,590,634,578,568,525,489,283,142,59,17,2,8969
918,8320,Mårslet ,516,566,488,409,217,151,368,471,485,445,435,395,339,362,312,260,139,78,27,8,0,6471
919,8330,Beder ,258,290,304,307,171,99,228,237,299,266,368,342,359,310,332,303,187,106,38,4,0,4808
920,8340,Malling ,436,406,387,339,195,252,414,402,420,374,388,427,433,390,301,260,147,67,14,3,0,6055
921,8350,Hundslund ,62,65,80,84,57,67,75,50,77,89,102,141,102,100,79,64,32,11,5,0,0,1342
922,8355,Solbjerg ,480,524,427,325,135,165,415,442,447,374,305,258,270,205,229,232,121,74,22,9,0,5459
923,8361,Hasselager ,598,531,457,386,281,392,588,616,515,498,516,615,531,476,363,305,161,76,23,3,2,7933
924,8362,Hørning ,714,719,753,677,297,374,603,726,704,712,656,582,425,405,420,397,239,145,41,9,3,9601
925,8370,Hadsten ,853,797,974,1032,504,558,800,815,868,1080,1002,859,730,628,619,647,357,163,61,18,3,13368
926,8380,Trige ,391,323,290,274,225,314,406,345,325,361,323,280,282,256,213,188,88,38,19,4,0,4945
927,8381,Tilst ,834,735,698,826,1023,1163,1034,768,729,737,826,777,682,548,534,548,290,162,38,9,1,12962
928,8382,Hinnerup ,1124,1086,1127,1106,463,481,946,1003,1057,1148,1030,920,721,675,729,683,377,178,59,9,1,14923
